GO_CC(Queried),count,SystematicName,Disease,Genetic_Interaction,GO_MF,GO_BP,Pathway,Mutant_Phenotype,Physical_Interaction,Transcriptional_Regulation,GO_CC,Protein_Domain
ATG1/ULK1 kinase complex,6,"['YDR022C', 'YGL180W', 'YLR423C', 'YPL166W', 'YPR049C', 'YPR185W']",,"['ATG15', 'ATG1', 'ATG17', 'ATG23', 'ATG4', 'ATG11']",['SNARE binding'],"['autophagosome assembly', 'autophagy', 'late nucleophagy', 'macroautophagy', 'mitophagy', 'piecemeal microautophagy of nucleus', 'positive regulation of autophagosome assembly', 'protein localization to pre-autophagosomal structure', 'protein transport']",,"['autophagy: absent', 'autophagy: decreased', 'late nucleophagy: absent', 'metal resistance: decreased', 'mitophagy: absent', 'mitophagy: decreased', 'nuclear morphology: abnormal', 'pexophagy: absent', 'protein/peptide accumulation: increased', 'protein/peptide modification: absent', 'reticulophagy: decreased', 'sporulation efficiency: decreased', 'viability: decreased']","['SFT2', 'CDC48', 'ATG31', 'TVP23', 'PMR1', 'ATG1', 'HAP2', 'PIL1', 'CRM1', 'VPS1', 'FKS1', 'ATG17', 'VTI1', 'ATG2', 'ATG29', 'SSO1', 'ATG11', 'SEC23', 'ATG13']",,"['pre-autophagosomal structure', 'pre-autophagosomal structure membrane', 'vacuole-isolation membrane contact site']",
Ada2/Gcn5/Ada3 transcription activator complex,1,['YPL254W'],,,,,,,,,,
Aim21-Tda2 complex,2,"['YER071C', 'YIR003W']",,,,['negative regulation of actin filament polymerization'],,,,,,
Arp2/3 protein complex,7,"['YBR234C', 'YDL029W', 'YIL062C', 'YJR065C', 'YKL013C', 'YLR370C', 'YNR035C']",,"['SKT5', 'CHS3', 'ABP1', 'ARP2', 'COM2', 'PEA2', 'CHS7', 'PRK1', 'CHS5', 'MYO5', 'PFA4', 'SDD2']","['actin binding', 'actin filament binding']","['Arp2/3 complex-mediated actin nucleation', 'actin cortical patch organization', 'actin filament polymerization', 'establishment of mitochondrion localization', 'regulation of actin filament polymerization']",,"['actin cytoskeleton morphology: abnormal', 'growth in exponential phase: decreased rate', 'mitochondrial distribution: abnormal', 'spore germination: decreased', 'telomere length: decreased']","['ARC40', 'ARP2', 'AIM7', 'CAP2', 'ARC15', 'PAN1', 'ARP3', 'ARC19', 'MYO3', 'VRP1', 'ARC18', 'PGM2', 'MYO5', 'SRV2', 'SLA2', 'BNI1', 'ARC35', 'LAS17']",,"['actin cortical patch', 'actin cytoskeleton', 'cytoskeleton']",
Asi complex,3,"['YMR119W', 'YNL008C', 'YNL159C']",,"['SSY1', 'PTR3', 'HMG2', 'HRD1', 'BRO1']",,"['cellular response to amino acid stimulus', 'transcription factor catabolic process', 'ubiquitin-dependent protein catabolic process']",,,"['ERG11', 'ASI1', 'ASI2']",,['nuclear inner membrane'],"['Zinc finger, C3HC4 type (RING finger)']"
Atg12-Atg5-Atg16 complex,3,"['YBR217W', 'YMR159C', 'YPL149W']",,"['ATG15', 'ATG9']",['Atg8 ligase activity'],"['C-terminal protein lipidation', 'CVT pathway', 'autophagy', 'late nucleophagy', 'mitophagy', 'nucleophagy', 'piecemeal microautophagy of nucleus']",,"['autophagy: absent', 'late nucleophagy: absent', 'mitophagy: decreased', 'nuclear morphology: abnormal', 'protein secretion: absent', 'protein/peptide modification: absent', 'sporulation efficiency: decreased', 'sporulation: absent', 'viability: decreased']",['ATG16'],,"['phagophore', 'pre-autophagosomal structure', 'pre-autophagosomal structure membrane', 'vacuole-isolation membrane contact site']",
BLOC-1 complex,6,"['YDR357C', 'YEL005C', 'YGL079W', 'YKL061W', 'YLR408C', 'YNL086W']",,,,"['endosome organization', 'regulation of protein localization']",,,"['CNL1', 'VAB2', 'KXD1', 'BLI1', 'BLS1', 'SNN1']",,['endosome'],
Bfa1-Bub2 complex,2,"['YJR053W', 'YMR055C']",,"['SPC72', 'IBD2']",,,,,,,"['mitotic spindle pole body', 'spindle pole']",
CAAX-protein geranylgeranyltransferase complex,2,"['YGL155W', 'YKL019W']",,,"['CAAX-protein geranylgeranyltransferase activity', 'prenyltransferase activity', 'protein geranylgeranyltransferase activity', 'protein prenyltransferase activity']","['protein geranylgeranylation', 'protein prenylation']",,,,,,
CAF-1 complex,3,"['YBR195C', 'YML102W', 'YPR018W']",,['ESC1'],['histone binding'],['DNA replication-dependent nucleosome assembly'],,['silencing: abnormal'],"['RTT106', 'RLF2']",,,
CBF3 complex,4,"['YDR328C', 'YGR140W', 'YMR094W', 'YMR168C']",,"['CTF3', 'CTF13']","['DNA binding, bending']",['septin ring assembly'],,,"['SLI15', 'SKP1', 'CBF2', 'CBF1', 'BIR1', 'CTF13', 'CEP3']",,"['chromosome', 'chromosome, centromeric region']",
CCAAT-binding factor complex,4,"['YBL021C', 'YGL237C', 'YKL109W', 'YOR358W']",,"['SEF1', 'MRH1', 'GRX3']","['transcriptional activator activity, RNA polymerase II transcription regulatory region sequence-specific binding']","['carbon catabolite activation of transcription from RNA polymerase II promoter', 'regulation of cellular respiration', 'regulation of transcription, DNA-templated']",,['utilization of carbon source: decreased'],"['HAP3', 'HAP2', 'HAP4', 'HAP5']",,,
CCR4-NOT complex,7,"['YAL021C', 'YER068W', 'YFL028C', 'YKR036C', 'YNL288W', 'YNR052C', 'YOL042W']",,"['CDC39', 'NOT5']","[""3'-5'-exoribonuclease activity"", 'exonuclease activity', 'poly(A)-specific ribonuclease activity']","['RNA phosphodiester bond hydrolysis, exonucleolytic', 'nuclear-transcribed mRNA poly(A) tail shortening', 'positive regulation of transcription elongation from RNA polymerase II promoter']",,,"['CCR4', 'SMY2', 'CDC39', 'CDC36', 'BTT1', 'SSN2', 'MOT2', 'CAF16', 'PUF4', 'MPT5', 'DBF2', 'CAF130', 'NOT3', 'DEF1', 'NST1', 'CAF40', 'POP2', 'HRP1', 'EGD1', 'NOT5', 'CAF120']",,"['CCR4-NOT core complex', 'P-body']",
CCR4-NOT core complex,10,"['YAL021C', 'YCR093W', 'YDL165W', 'YDR252W', 'YER068W', 'YGR134W', 'YIL038C', 'YNL288W', 'YNR052C', 'YPR072W']",,"['CCR4', 'CDC39', 'DHH1', 'CDC36', 'SRB4', 'MOT2', 'NOT3', 'RAD7', 'MFT1', 'POP2', 'RRP6', 'NOT5', 'MSY1']",,"['deadenylation-dependent decapping of nuclear-transcribed mRNA', 'deadenylation-independent decapping of nuclear-transcribed mRNA', 'nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay', 'nuclear-transcribed mRNA poly(A) tail shortening', 'positive regulation of transcription elongation from RNA polymerase II promoter', 'protein ubiquitination', 'transcription elongation from RNA polymerase II promoter']",,['cell shape: abnormal'],"['CCR4', 'PIN4', 'SMY2', 'RIM1', 'CDC39', 'RRP42', 'CDC36', 'WHI4', 'BTT1', 'SSN2', 'MOT2', 'SPT15', 'PUF4', 'MPT5', 'DBF2', 'CAF130', 'SKI6', 'NOT3', 'MTR4', 'YJR011C', 'MLP1', 'SAM1', 'MFT1', 'TAF13', 'SSN8', 'NST1', 'CAF40', 'POP2', 'HRP1', 'EGD1', 'NOT5']",,"['CCR4-NOT complex', 'P-body', 'cytoplasm', 'nucleus']","['Not1 N-terminal domain, CCR4-Not complex component', 'NOT2 / NOT3 / NOT5 family']"
CENP-A containing nucleosome,3,"['YBR010W', 'YKL049C', 'YNL031C']",,"['REG1', 'HHF2']","['cupric reductase activity', 'protein heterodimerization activity']","['global genome nucleotide-excision repair', 'rRNA transcription', 'sexual sporulation resulting in formation of a cellular spore']",,,"['DEP1', 'FUN30', 'MYO4', 'RBG1', 'NUP60', 'SWD1', 'RFA1', 'HTB2', 'HTA2', 'UTP20', 'LDB7', 'SLA1', 'HIR1', 'PIM1', 'MCM2', 'RRN10', 'APL3', 'PIN4', 'SKT5', 'BOI1', 'ECM21', 'PKC1', 'HHF1', 'AKL1', 'ORC2', 'SEC18', 'SPT7', 'UBC4', 'RFC5', 'NHP6B', 'RXT2', 'EXO84', 'SIF2', 'MRPL36', 'MAK5', 'SUP45', 'SWD3', 'MED8', 'MSI1', 'MCM7', 'AME1', 'PDB1', 'ISW1', 'TAE1', 'CHK1', 'RIF1', 'APM3', 'SNF5', 'KRR1', 'MRC1', 'RVS161', 'HTL1', 'RIM1', 'TAF2', 'RSC6', 'PAT1', 'CDC39', 'GPD1', 'ARP2', 'SIR2', 'RAD59', 'SUB2', 'POL3', 'PHO2', 'CDC53', 'SCM3', 'RPO21', 'NOP14', 'RPC53', 'MHF2', 'GLT1', 'WHI4', 'REG1', 'LYS14', 'UBC5', 'SNF11', 'RRP8', 'MSH6', 'BMH2', 'STE5', 'KIN1', 'SAN1', 'SWI5', 'NUM1', 'SEC1', 'HSP42', 'SUP35', 'HMO1', 'NGG1', 'RVB1', 'MSS116', 'GCD6', 'TCP1', 'UPC2', 'ADR1', 'HTB1', 'HTA1', 'SIR4', 'PAM1', 'SSD1', 'RSC3', 'GIC2', 'SUM1', 'MRPL35', 'YCG1', 'HXT7', 'EAF1', 'SAC7', 'RPT3', 'SNX41', 'TIF35', 'PPZ2', 'DOT1', 'TOM1', 'SDC1', 'VPS60', 'PSP1', 'GIN4', 'VAC8', 'EDC3', 'MCM3', 'VMA8', 'AFG1', 'HAT2', 'CIN8', 'SEC3', 'HEM14', 'GCD11', 'JHD1', 'GIP2', 'MOT2', 'UTP7', 'TRP2', 'NUP157', 'KAP123', 'BOI2', 'BEM2', 'CHD1', 'RPH1', 'BMH1', 'EPL1', 'RGD2', 'SWP82', 'GCN20', 'FAB1', 'SMC2', 'RSC8', 'PDR1', 'PUF4', 'CKB1', 'ALK1', 'PIB2', 'TRP5', 'YGL039W', 'YBP2', 'MRH4', 'SGF73', 'SRM1', 'ARC1', 'CUE3', 'SNT2', 'INO80', 'RAD54', 'NUP49', 'XRN1', 'HOS2', 'MCM6', 'CHC1', 'SPT16', 'SWC4', 'RSC1', 'UPF3', 'TWF1', 'ASK10', 'TEL2', 'SRB5', 'SPT6', 'YGR130C', 'PRE9', 'LSB1', 'ENP2', 'TIF4631', 'RBG2', 'OKP1', 'TFG1', 'PCT1', 'PHO81', 'YAP1802', 'SDA1', 'BRF1', 'PUP2', 'YTA7', 'SLH1', 'TAF1', 'RTT102', 'PRS3', 'SNF6', 'VMR1', 'RPN1', 'SSF1', 'KSP1', 'YNG2', 'TRA1', 'GGA2', 'SET1', 'RPC10', 'YAP1801', 'DBP8', 'NMD3', 'IKI1', 'RIX1', 'SKN7', 'SET5', 'FAA3', 'PDR11', 'RPB3', 'CKA1', 'GVP36', 'MAM33', 'SEC28', 'STH1', 'TAO3', 'CCT2', 'BNR1', 'PAN1', 'CYR1', 'RPC17', 'VTC4', 'CCT3', 'RTT101', 'SMC3', 'ARP4', 'EXO70', 'UTP10', 'ASF1', 'SET2', 'RFA3', 'SWI3', 'RCY1', 'SUI2', 'TAH11', 'CCT5', 'TOR1', 'RFC2', 'MIR1', 'JSN1', 'FIP1', 'JHD2', 'BYE1', 'CCE1', 'URB1', 'SWD2', 'MAE1', 'RGT1', 'CSE4', 'TOA2', 'MSN4', 'DHR2', 'HSL1', 'GFA1', 'YPK1', 'CTK1', 'RPT1', 'EBP2', 'SNU114', 'PRS1', 'YKT6', 'VPS1', 'RSC4', 'YKR018C', 'DBP7', 'RPC37', 'SET3', 'SPO14', 'NAP1', 'TGL4', 'SRP40', 'DNM1', 'RTT109', 'ORC3', 'DRS1', 'SPA2', 'HIF1', 'RIX7', 'VPS13', 'RLP24', 'RSC58', 'RGR1', 'ALT1', 'HOG1', 'RKM5', 'RRN5', 'ACS2', 'SEC10', 'SWI6', 'MDL1', 'ATG26', 'PBA1', 'TOP3', 'YEF3', 'DBP9', 'SFH1', 'SGD1', 'FKS1', 'RSC2', 'IKI3', 'BDF1', 'VIP1', 'MAG2', 'ECM30', 'SIR3', 'VMA6', 'FPR4', 'PDP3', 'YAP1', 'PSP2', 'PRP39', 'RSE1', 'PIF1', 'POB3', 'TCB3', 'CAC2', 'NAB6', 'RSC9', 'TAF4', 'CLU1', 'STB4', 'EIS1', 'ARP9', 'IOC4', 'MOT3', 'ABF2', 'RCO1', 'CTF18', 'NPL6', 'YKU80', 'RRB1', 'TIF34', 'ECM5', 'TOM40', 'EFR3', 'RRP5', 'RNA1', 'TAF9', 'FAA4', 'CUE1', 'TMA23', 'RRN9', 'YKU70', 'HSH155', 'HAS1', 'PSE1', 'ELP6', 'PRE5', 'MRP7', 'RCM1', 'HHF2', 'HHT2', 'IDH1', 'COG6', 'SFB2', 'END3', 'TOP2', 'PHO23', 'POL1', 'YAF9', 'DBP2', 'KRE33', 'RPC31', 'CBK1', 'MRPL22', 'IPI3', 'SRP1', 'RTT106', 'VID27', 'PDR16', 'SIN4', 'ATG2', 'SLA2', 'VPS75', 'RPA49', 'MRPL17', 'ORC5', 'POL2', 'PIK1', 'RFC3', 'CLA4', 'KRI1', 'RFA2', 'RPD3', 'ACC1', 'NOG2', 'SIN3', 'TOP1', 'RCL1', 'HTZ1', 'PRE6', 'PSH1', 'PRS5', 'BRX1', 'MSH2', 'RFC4', 'SDD3', 'TPT1', 'CDC33', 'RRP6', 'ROD1', 'HST3', 'RAT1', 'ASE1', 'CKA2', 'YNG1', 'TCB1', 'RPO31', 'RIO1', 'LEO1', 'IDH2', 'ARP8', 'LSC1', 'PNO1', 'RPB2', 'PDR5', 'MSB1', 'MRM1', 'HIS3', 'NOC2', 'RET1', 'RPB10', 'RFC1', 'GCD1', 'SNF2', 'ISW2', 'FAA1', 'MYO2', 'SCD5', 'RPA43', 'RPA190', 'VTS1', 'PRE10', 'HAT1', 'LSP1', 'RRP12', 'HST2', 'SWI1', 'VTC3', 'DIG1', 'MUK1', 'YTA6', 'BRO1', 'SEC16', 'ELP3', 'NOG1', 'ELP4', 'BEM3', 'HOS3', 'DBP1', 'SPC29', 'NAN1', 'HHO1', 'TAF14', 'SPP1', 'UME1', 'YPL150W', 'CTI6', 'IPL1', 'BMS1', 'NEW1', 'DIM1', 'RLF2', 'MCM4', 'EAF3', 'APL4', 'NTO1', 'ARP7', 'PUF2', 'NHP6A', 'MED1', 'YPR089W', 'FHL1', 'COG4', 'RPC40', 'NOC4', 'RPC82', 'ICS2', 'EXO5', 'CHA1', 'NPC2', 'CDC1', 'MRPL7', 'YDR341C', 'MIT1', 'GSC2', 'RSC30', 'VTH1', 'MTC1', 'LCB5', 'YME2', 'YMR315W', 'MRX6', 'SNF12', 'PET127', 'AZF1', 'SER1', 'UAF30', 'CIP1', 'PGC1', 'GRS2']","['NHP6B', 'NGG1', 'NHP6A']","['chromosome', 'nucleosome']",['Core histone H2A/H2B/H3/H4']
CHRAC,5,"['YBR278W', 'YDR121W', 'YGL133W', 'YJL065C', 'YOR304W']",,"['GLN3', 'RLF2']","['DNA polymerase processivity factor activity', 'protein heterodimerization activity', ""single-stranded DNA 3'-5' exodeoxyribonuclease activity"", 'single-stranded DNA binding']",,,,"['DPB4', 'ITC1', 'DLS1', 'ISW2']",,"['chromosome, telomeric region', 'epsilon DNA polymerase complex']",
CIA complex,4,"['YDR267C', 'YHR122W', 'YIL128W', 'YNL240C']",,,,['iron-sulfur cluster assembly'],,,['CIA1'],,,
