GO_MF(Queried),count,SystematicName,Disease,Genetic_Interaction,GO_CC,GO_BP,Pathway,Mutant_Phenotype,Physical_Interaction,Transcriptional_Regulation,GO_MF,Protein_Domain
"3',5'-cyclic-nucleotide phosphodiesterase activity",2,"['YGL248W', 'YOR360C']",,,,['adenylate cyclase-activating G-protein coupled receptor signaling pathway'],,,,,"[""3',5'-cyclic-AMP phosphodiesterase activity"", 'phosphoric diester hydrolase activity']",
3'-5' DNA helicase activity,14,"['YBL023C', 'YBR202W', 'YDR190C', 'YDR291W', 'YGL150C', 'YGL201C', 'YIL143C', 'YIR002C', 'YJL092W', 'YLR274W', 'YMR190C', 'YOL095C', 'YPL235W', 'YPR019W']",,"['MCM2', 'MCM7', 'MRC1', 'CDC7', 'MHF2', 'RAD55', 'MCM3', 'RAD24', 'RAD54', 'MCM6', 'MCM10', 'RCY1', 'MCM5', 'CTF18', 'SGS1', 'ORC5', 'TOF1', 'MHF1', 'HST3', 'NOP58', 'CHL1', 'REV3', 'DDC1', 'MCM4']","['ASTRA complex', 'CMG complex', 'DNA replication preinitiation complex', 'Ino80 complex', 'MCM complex', 'MCM core complex', 'R2TP complex', 'chromosome, telomeric region', 'nuclear pre-replicative complex', 'nucleus', 'replication fork protection complex']","['DNA duplex unwinding', 'DNA repair', 'DNA replication', 'DNA replication initiation', 'DNA strand elongation involved in DNA replication', 'DNA unwinding involved in DNA replication', 'cellular response to DNA damage stimulus', 'double-strand break repair via break-induced replication', 'histone exchange', 'nuclear DNA replication', 'pre-replicative complex assembly involved in nuclear cell cycle DNA replication', 'recombinational repair']",,"['cell cycle progression in S phase: arrested', 'cell cycle progression through the G1/S phase transition: arrested', 'chromosome/plasmid maintenance: abnormal', 'mitotic recombination: increased', 'mutation frequency: increased']","['RFA1', 'HTA2', 'MCM2', 'HHF1', 'MCM7', 'MRC1', 'CDC7', 'PSF1', 'DBF4', 'MSH6', 'HTB1', 'HTA1', 'SIZ1', 'SLD5', 'MCM3', 'IES6', 'IES5', 'SLD3', 'MCM6', 'SPT16', 'YTA7', 'MCM10', 'PSF2', 'SPT10', 'CDC6', 'TAH11', 'CSE4', 'SLD2', 'IES3', 'CDC45', 'MCM5', 'MMS22', 'ORC1', 'CSM3', 'ARP5', 'IES2', 'TOF1', 'PSF3', 'NFI1', 'IES4', 'MCM4', 'CTF4']",,"['ATP binding', 'DNA binding', 'DNA helicase activity', 'DNA replication origin binding', 'four-way junction helicase activity', 'helicase activity', 'hydrolase activity', 'nucleotide binding', 'single-stranded DNA binding', 'single-stranded DNA-dependent ATP-dependent DNA helicase activity']","['Helicase conserved C-terminal domain', 'MCM P-loop domain', 'Type III restriction enzyme, res subunit', 'TIP49 P-loop domain', 'UvrD-like helicase C-terminal domain', 'MCM N-terminal domain', 'MCM OB domain', 'MCM AAA-lid domain', 'TIP49 AAA-lid domain']"
3'-5' RNA helicase activity,3,"['YDL175C', 'YJL050W', 'YOL115W']",,,['TRAMP complex'],"[""U4 snRNA 3'-end processing"", 'ncRNA polyadenylation', ""nuclear mRNA surveillance of mRNA 3'-end processing"", 'nuclear polyadenylation-dependent CUT catabolic process', 'nuclear polyadenylation-dependent mRNA catabolic process', 'nuclear polyadenylation-dependent rRNA catabolic process', 'nuclear polyadenylation-dependent snRNA catabolic process', 'nuclear polyadenylation-dependent snoRNA catabolic process', 'nuclear polyadenylation-dependent tRNA catabolic process', ""polyadenylation-dependent snoRNA 3'-end processing"", 'tRNA modification']",,,"['AIR1', 'MTR4', 'NRD1', 'TRF5', 'MPP6', 'NAB3']",,['polynucleotide adenylyltransferase activity'],
3'-5' exonuclease activity,9,"['YBL019W', 'YGR276C', 'YLR059C', 'YLR107W', 'YMR224C', 'YOL080C', 'YOR001W', 'YOR330C', 'YPL167C']",,"['REX3', 'DIS3']",,"[""U5 snRNA 3'-end processing"", ""exonucleolytic trimming to generate mature 3'-end of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)""]",,,,,"[""3'-5'-exoribonuclease activity"", 'exonuclease activity', 'hydrolase activity', 'nuclease activity', 'nucleic acid binding']",['Exonuclease']
3'-5'-exodeoxyribonuclease activity,3,"['YBL055C', 'YDL102W', 'YMR224C']",,,,,,,,,['nuclease activity'],
3'-5'-exoribonuclease activity,13,"['YAL021C', 'YDR293C', 'YGR276C', 'YLR059C', 'YLR107W', 'YLR132C', 'YML118W', 'YMR285C', 'YMR287C', 'YNR052C', 'YOL021C', 'YOL042W', 'YOR001W']",,"['RNH70', 'REX2', 'REX3', 'DIS3', 'RRP6', 'BRR1', 'RMD8']","['CCR4-NOT complex', 'exosome (RNase complex)']","['RNA phosphodiester bond hydrolysis, exonucleolytic', ""U5 snRNA 3'-end processing"", ""exonucleolytic trimming to generate mature 3'-end of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)"", 'nuclear-transcribed mRNA poly(A) tail shortening', 'nucleic acid phosphodiester bond hydrolysis']",,,,,"[""3'-5' exonuclease activity"", 'RNA binding', 'exonuclease activity', 'hydrolase activity', 'nuclease activity', 'nucleic acid binding', 'poly(A)-specific ribonuclease activity', 'ribonuclease activity']","['RNB domain', 'Endonuclease/Exonuclease/phosphatase family', 'Dis3-like cold-shock domain 2 (CSD2)']"
3'-flap endonuclease activity,1,['YDR386W'],,,,,,,,,,
3'-flap-structured DNA binding,1,['YAL027W'],,,,,,,,,,
3'-phosphoadenosine 5'-phosphosulfate transmembrane transporter activity,1,['YPR011C'],,,,,,,,,,
3'-tRNA processing endoribonuclease activity,1,['YKR079C'],,,,,,,,,,
3'-tyrosyl-DNA phosphodiesterase activity,2,"['YBR223C', 'YKL114C']",,,,,,,,,['phosphoric diester hydrolase activity'],
"3,4-dihydroxy-2-butanone-4-phosphate synthase activity",1,['YDR487C'],,,,,,,,,,
3-beta-hydroxy-delta5-steroid dehydrogenase activity,2,"['YGL001C', 'YOL151W']",,,,,,,,,,['3-beta hydroxysteroid dehydrogenase/isomerase family']
3-dehydroquinate dehydratase activity,1,['YDR127W'],,,,,,,,,,
3-dehydroquinate synthase activity,1,['YDR127W'],,,,,,,,,,
3-dehydrosphinganine reductase activity,1,['YBR265W'],,,,,,,,,,
3-demethylubiquinone-6 3-O-methyltransferase activity,1,['YOL096C'],,,,,,,,,,
3-demethylubiquinone-9 3-O-methyltransferase activity,1,['YOL096C'],,,,,,,,,,
3-deoxy-7-phosphoheptulonate synthase activity,2,"['YBR249C', 'YDR035W']",,,,"['aromatic amino acid family biosynthetic process', 'chorismate biosynthetic process']",['chorismate biosynthesis'],,,,,['DAHP synthetase I family']
3-hydroxy-arachidoyl-CoA dehydratase activity,1,['YJL097W'],,,,,,,,,,
3-hydroxy-behenoyl-CoA dehydratase activity,1,['YJL097W'],,,,,,,,,,
3-hydroxy-lignoceroyl-CoA dehydratase activity,1,['YJL097W'],,,,,,,,,,
3-hydroxyacyl-CoA dehydratase activity,1,['YJL097W'],,,,,,,,,,
3-hydroxyacyl-CoA dehydrogenase activity,1,['YKR009C'],,,,,,,,,,
3-hydroxyacyl-[acyl-carrier-protein] dehydratase activity,2,"['YHR067W', 'YKL182W']",,,,,,,,['OPI1'],,
"3-hydroxyanthranilate 3,4-dioxygenase activity",1,['YJR025C'],,,,,,,,,,
3-hydroxydecanoyl-[acyl-carrier-protein] dehydratase activity,1,['YKL182W'],,,,,,,,,,
3-hydroxyisobutyryl-CoA hydrolase activity,1,['YDR036C'],,,,,,,,,,
3-hydroxyoctanoyl-[acyl-carrier-protein] dehydratase activity,1,['YKL182W'],,,,,,,,,,
3-hydroxypalmitoyl-[acyl-carrier-protein] dehydratase activity,1,['YKL182W'],,,,,,,,,,
3-isopropylmalate dehydratase activity,1,['YGL009C'],,,,,,,,,,
3-isopropylmalate dehydrogenase activity,1,['YCL018W'],,,,,,,,,,
3-keto sterol reductase activity,1,['YLR100W'],,,,,,,,,,
3-methyl-2-oxobutanoate hydroxymethyltransferase activity,1,['YBR176W'],,,,,,,,,,
3-methylbutanol:NAD(P) oxidoreductase activity,1,['YOL151W'],,,,,,,,,,
3-oxo-5-alpha-steroid 4-dehydrogenase activity,1,['YIL049W'],,,,,,,,,,
3-oxo-arachidoyl-CoA reductase activity,1,['YBR159W'],,,,,,,,,,
3-oxo-behenoyl-CoA reductase activity,1,['YBR159W'],,,,,,,,,,
3-oxo-cerotoyl-CoA reductase activity,1,['YBR159W'],,,,,,,,,,
3-oxo-lignoceroyl-CoA reductase activity,1,['YBR159W'],,,,,,,,,,
3-oxoacyl-[acyl-carrier-protein] reductase (NADPH) activity,2,"['YKL055C', 'YPL231W']",,,,,['fatty acid elongation'],,,,,
3-oxoacyl-[acyl-carrier-protein] synthase activity,2,"['YER061C', 'YPL231W']",,,,,"['fatty acid biosynthesis, initial steps', 'fatty acid elongation']",,,,,"['Beta-ketoacyl synthase, N-terminal domain', 'Beta-ketoacyl synthase, C-terminal domain']"
3-phosphoshikimate 1-carboxyvinyltransferase activity,1,['YDR127W'],,,,,,,,,,
"4 iron, 4 sulfur cluster binding",27,"['YBR163W', 'YDL102W', 'YDR234W', 'YER171W', 'YGL009C', 'YGL091C', 'YGR286C', 'YHR164C', 'YIL003W', 'YJL200C', 'YJR016C', 'YJR137C', 'YKL040C', 'YKL045W', 'YKR071C', 'YLL041C', 'YLR304C', 'YNL102W', 'YNL240C', 'YNL262W', 'YOL043C', 'YOR196C', 'YOR356W', 'YPL086C', 'YPL167C', 'YPL207W', 'YPR067W']",,"['POL3', 'CFD1', 'PIF1', 'RAD50', 'EXO1']","['Nbp35-Cfd1 ATPase complex', 'mitochondrion', 'replication fork']","['DNA replication', 'iron-sulfur cluster assembly', 'lagging strand elongation']",,,['TAH18'],,"['2 iron, 2 sulfur cluster binding', 'DNA binding', 'DNA-directed DNA polymerase activity', 'aconitate hydratase activity', 'catalytic activity', 'iron-sulfur cluster binding', 'lyase activity', 'metal ion binding', 'nucleotidyltransferase activity']","['DNA polymerase family B', 'Aconitase family (aconitate hydratase)', 'Aconitase C-terminal domain', 'DNA polymerase family B, exonuclease domain', 'Radical SAM superfamily', 'NUBPL iron-transfer P-loop NTPase', 'C4-type zinc-finger of DNA polymerase delta']"
4-alpha-glucanotransferase activity,1,['YPR184W'],,,,,,,,,,
4-alpha-hydroxytetrahydrobiopterin dehydratase activity,1,['YHL018W'],,,,,,,,,,
4-amino-4-deoxychorismate lyase activity,1,['YMR289W'],,,,,,,,,,
4-amino-4-deoxychorismate synthase activity,1,['YNR033W'],,,,,,,,,,
4-aminobutyrate transaminase activity,1,['YGR019W'],,,,,,,,,,
4-aminobutyrate:2-oxoglutarate transaminase activity,1,['YGR019W'],,,,,,,,,,
4-hydroxy-4-methyl-2-oxoglutarate aldolase activity,1,['YER010C'],,,,,,,,,,
4-hydroxybenzaldehyde dehydrogenase activity,1,['YMR110C'],,,,,,,,,,
4-hydroxybenzoate decaprenyltransferase activity,1,['YNR041C'],,,,,,,,,,
4-hydroxybenzoate nonaprenyltransferase activity,1,['YNR041C'],,,,,,,,,,
4-hydroxybenzoate octaprenyltransferase activity,1,['YNR041C'],,,,,,,,,,
4-hydroxyphenylpyruvate decarboxylase activity,1,['YDR380W'],,,,,,,,,,
4alpha-carboxy-4beta-methyl-5alpha-cholesta-8-en-3beta-ol:NAD(P)+ 3-oxidoreductase (decarboxylating) activity,1,['YGL001C'],,,,,,,,,,
4alpha-carboxy-5alpha-cholesta-8-en-3beta-ol:NAD(P)+ 3-dehydrogenase (decarboxylating) activity,1,['YGL001C'],,,,,,,,,,
5'-3' DNA helicase activity,7,"['YDR190C', 'YER171W', 'YHR031C', 'YKL017C', 'YLR430W', 'YML061C', 'YPL235W']",,['TOP3'],"['ASTRA complex', 'R2TP complex', 'replication fork']","['DNA duplex unwinding', 'DNA repair', 'G-quadruplex DNA unwinding', 'cellular response to DNA damage stimulus', 'ncRNA transcription', 'replication fork reversal']",,,,,"['ATP binding', 'DNA helicase activity', 'helicase activity', 'hydrolase activity', 'nucleotide binding']","['PIF1-like helicase', 'TIP49 P-loop domain', 'AAA domain', 'AAA domain', 'TIP49 AAA-lid domain']"
5'-3' DNA/RNA helicase activity,1,['YLR430W'],,,,,,,,,,
5'-3' RNA helicase activity,1,['YLR430W'],,,,,,,,,,
5'-3' exodeoxyribonuclease activity,3,"['YDR263C', 'YMR137C', 'YOR033C']",,,,"['DNA double-strand break processing', 'nucleic acid phosphodiester bond hydrolysis']",,,,,"[""5'-3' exonuclease activity"", ""5'-flap endonuclease activity"", 'hydrolase activity, acting on ester bonds', 'nuclease activity']",
5'-3' exonuclease activity,7,"['YDR370C', 'YER041W', 'YGL173C', 'YKL113C', 'YLR277C', 'YMR137C', 'YOR033C']",,,,['nucleic acid phosphodiester bond hydrolysis'],,,,,"[""5'-3' exodeoxyribonuclease activity"", ""5'-flap endonuclease activity"", 'endonuclease activity', 'exonuclease activity', 'hydrolase activity', 'nuclease activity']",
5'-3' exoribonuclease activity,3,"['YDR412W', 'YGL173C', 'YOR048C']",,,,['snoRNA processing'],,,,,,
5'-adenylyl sulfate transmembrane transporter activity,1,['YPR011C'],,,,,,,,,,
5'-deoxynucleotidase activity,2,"['YBR242W', 'YGL101W']",,,,['deoxyribonucleoside monophosphate catabolic process'],,,,,"[""GMP 5'-nucleotidase activity""]",['HD domain']
5'-deoxyribose-5-phosphate lyase activity,1,['YOL115W'],,,,,,,,,,
5'-flap endonuclease activity,8,"['YBR228W', 'YDR263C', 'YER041W', 'YHR164C', 'YKL113C', 'YLR135W', 'YNL085W', 'YOR033C']",,"['MMS4', 'TDP1', 'RNH202', 'MUS81', 'POL32', 'TOP3', 'PSO2', 'SGS1', 'RAD1', 'RMI1', 'MMS1']",['Slx1-Slx4 complex'],"['DNA double-strand break processing', 'DNA recombination', 'DNA repair', 'DNA-dependent DNA replication', 'cellular response to DNA damage stimulus', 'gene conversion at mating-type locus', 'nucleic acid phosphodiester bond hydrolysis']",,,,,"[""5'-3' exodeoxyribonuclease activity"", ""5'-3' exonuclease activity"", 'crossover junction endodeoxyribonuclease activity', 'endonuclease activity', 'hydrolase activity', 'hydrolase activity, acting on ester bonds', 'nuclease activity']","['XPG N-terminal domain', 'XPG I-region']"
5'-flap-structured DNA binding,1,['YAL027W'],,,,,,,,,,
5'-nucleotidase activity,1,['YKL033W-A'],,,,,,,,,,
5'-tyrosyl-DNA phosphodiesterase activity,1,['YBR223C'],,,,,,,,,,
5-amino-1-ribofuranosylimidazole-4-carboxamide transporter activity,3,"['YLR237W', 'YOR071C', 'YOR192C']",,['THI3'],,"['5-amino-1-ribofuranosylimidazole-4-carboxamide transmembrane transport', 'nucleobase transport', 'thiamine transport']",,,,,"['nucleobase transmembrane transporter activity', 'transmembrane transporter activity']",
5-amino-4-imidazole carboxylate lyase activity,1,['YOR128C'],,,,,,,,,,
5-amino-6-(5-phosphoribosylamino)uracil reductase activity,1,['YBR153W'],,,,,,,,,,
5-aminolevulinate synthase activity,1,['YDR232W'],,,,,,,,,,
5-diphosphoinositol pentakisphosphate 3-kinase activity,1,['YLR410W'],,,,,,,,,,
5-fluorocytosine deaminase activity,1,['YPR062W'],,,,,,,,,,
5-formyltetrahydrofolate cyclo-ligase activity,1,['YER183C'],,,,,,,,,,
5-methyltetrahydropteroyltriglutamate-homocysteine S-methyltransferase activity,1,['YER091C'],,,,,,,,,,
5-oxoprolinase (ATP-hydrolyzing) activity,1,['YKL215C'],,,,,,,,,,
5.8S rRNA binding,1,['YLR022C'],,,,,,,,,,
5S rRNA binding,5,"['YGL122C', 'YKR081C', 'YOL077C', 'YPL131W', 'YPL146C']",,,,['ribosomal large subunit assembly'],,['desiccation resistance: increased'],"['YBL028C', 'RPL23A', 'DPB3', 'PWP2', 'RSA4', 'MAK21', 'RRP1', 'ARX1', 'SSF2', 'FCF1', 'RRP17', 'PUF6', 'NUG1', 'RPL34A', 'SWI4', 'RPL23B', 'SPB4', 'LOC1', 'RPL24A', 'NSA1', 'NOP7', 'RPL24B', 'YGR237C', 'SDA1', 'SBP1', 'PIH1', 'CIC1', 'SSF1', 'NOP10', 'IPI1', 'RPF1', 'PAL2', 'RIX1', 'RPL34B', 'YIL161W', 'MHP1', 'SET2', 'CYC1', 'MRT4', 'EBP2', 'RPF2', 'RPL8B', 'NOC3', 'RLP24', 'BUD20', 'STM1', 'RPS31', 'FPR4', 'ORC1', 'FPR3', 'PKR1', 'RPS16A', 'RRP5', 'RLP7', 'NOP2', 'MET4', 'NOP15', 'RIA1', 'NOG2', 'HTZ1', 'TPT1', 'RPL25', 'NOP8', 'DNL4', 'RPL3', 'NOC2', 'HER1', 'YTM1', 'RRS1', 'MBF1', 'BIL1', 'NOP58', 'NOP4', 'NOG1', 'RPL5', 'NIP7', 'BMS1', 'TIF6', 'THP3', 'RPL11A', 'RRP15', 'SGV1', 'RPL19B', 'RPS8A', 'RPL32', 'RPL21A', 'RPL27B', 'RPL37B', 'RPL26B', 'OTU2', 'RPL27A', 'IOC2', 'RPL37A', 'TMA7', 'RPL26A', 'RPL31B', 'RPL20B']",,"['7S RNA binding', 'rRNA binding']",
"6,7-dimethyl-8-ribityllumazine synthase activity",1,['YOL143C'],,,,,,,,,,
6-phosphofructo-2-kinase activity,4,"['YIL107C', 'YJL155C', 'YLR345W', 'YOL136C']",,,,"['carbohydrate phosphorylation', 'dephosphorylation', 'fructose 2,6-bisphosphate metabolic process', 'fructose metabolic process', 'regulation of glycolytic process']",,,,,"['catalytic activity', 'fructose-2,6-bisphosphate 2-phosphatase activity']","['Histidine phosphatase superfamily (branch 1)', '6-phosphofructo-2-kinase']"
6-phosphofructokinase activity,2,"['YGR240C', 'YMR205C']",['glycogen storage disease'],,['6-phosphofructokinase complex'],"['canonical glycolysis', 'fructose 1,6-bisphosphate metabolic process', 'fructose 6-phosphate metabolic process', 'glycolytic process', 'regulation of intracellular pH']",['glycolysis'],,,,"['AMP binding', 'fructose-6-phosphate binding', 'identical protein binding', 'monosaccharide binding']",['Phosphofructokinase']
6-phosphogluconolactonase activity,4,"['YCR073W-A', 'YGR248W', 'YHR163W', 'YNR034W']",,,,"['carbohydrate metabolic process', 'pentose-phosphate shunt', 'pentose-phosphate shunt, oxidative branch']",['oxidative branch of the pentose phosphate pathway'],,,,,['Glucosamine-6-phosphate isomerases/6-phosphogluconolactonase']
